# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
95.000000,0.000000,1.000000,0.493525,0.538155,-0.002573,0.021486,0.075993,-0.000023,-0.000000,0.000008,0.449380,9.472584,2.510838
96.000000,0.000000,1.000000,0.564432,0.538155,0.000435,0.021539,0.076894,-0.000013,-0.000004,0.000003,0.467811,9.464935,2.536191
97.000000,0.000000,1.000000,0.502458,0.538155,-0.000517,0.020493,0.078124,-0.000025,0.000002,0.000010,0.474460,9.459977,2.553395
98.000000,0.000000,1.000000,0.501586,0.538155,-0.000811,0.016569,0.078760,-0.000015,0.000007,0.000014,0.571722,9.429988,2.642831
99.000000,0.000000,1.000000,0.395613,0.538155,-0.003856,0.020271,0.079194,0.000017,-0.000000,0.000006,0.856091,9.377755,2.749711
100.000000,0.000000,1.000000,0.508510,0.538155,-0.004048,0.021988,0.079653,0.000012,0.000001,-0.000005,0.638647,9.446302,2.568192
101.000000,0.000000,1.000000,0.522283,0.538155,-0.005962,0.019323,0.073273,-0.000040,-0.000004,0.000008,0.649880,9.454232,2.535991
102.000000,0.000000,1.000000,0.486663,0.538155,-0.006049,0.023625,0.073815,0.000013,0.000003,-0.000005,0.694304,9.429260,2.615930
103.000000,0.000000,1.000000,0.476492,0.538155,-0.004463,0.018757,0.075506,-0.000032,-0.000005,0.000006,0.695947,9.443610,2.563200
104.000000,0.000000,1.000000,0.523012,0.538155,-0.001254,0.019658,0.073589,0.000007,0.000001,0.000000,0.576151,9.436768,2.617547
105.000000,0.000000,1.000000,0.504709,0.538155,0.000084,0.018699,0.076171,-0.000048,0.000014,0.000023,0.705917,9.403077,2.705535
106.000000,0.000000,1.000000,0.501855,0.538155,0.001806,0.018409,0.083772,0.000002,-0.000000,0.000001,0.653042,9.424161,2.644773
107.000000,0.000000,1.000000,0.515290,0.538155,-0.003594,0.023980,0.077904,0.000008,-0.000002,-0.000004,0.731694,9.429773,2.603862
108.000000,0.000000,1.000000,0.517717,0.538155,-0.001941,0.021522,0.078603,-0.000032,-0.000004,0.000010,0.703480,9.430699,2.608280
109.000000,0.000000,1.000000,0.462880,0.538155,-0.002987,0.022023,0.077159,-0.000023,-0.000002,0.000005,0.719594,9.474399,2.440093
110.000000,0.000000,1.000000,0.516799,0.538155,-0.003168,0.018665,0.073280,-0.000033,-0.000003,0.000008,0.701367,9.443753,2.561194
111.000000,0.000000,1.000000,0.476938,0.538155,-0.005216,0.020408,0.074767,-0.000056,0.000001,0.000025,0.719416,9.437611,2.578766
112.000000,0.000000,1.000000,0.494085,0.538155,-0.004989,0.019595,0.077352,-0.000032,-0.000001,0.000009,0.747527,9.420795,2.631717
113.000000,0.000000,1.000000,0.427844,0.538155,-0.002763,0.022418,0.074774,-0.000036,-0.000002,0.000011,0.626971,9.442549,2.584817
114.000000,0.000000,1.000000,0.427844,0.538155,-0.002763,0.022418,0.074774,-0.000036,-0.000002,0.000011,0.626971,9.442549,2.584817
115.000000,0.000000,1.000000,0.427844,0.538155,-0.002763,0.022418,0.074774,-0.000036,-0.000002,0.000011,0.626971,9.442549,2.584817
116.000000,0.000000,1.000000,0.469786,0.538155,-0.005663,0.021214,0.076371,-0.000063,-0.000002,0.000020,0.495861,9.497286,2.406611
117.000000,0.000000,1.000000,0.499880,0.538155,-0.004160,0.020904,0.074155,-0.000031,0.000001,0.000010,0.460200,9.462611,2.546235
118.000000,0.000000,1.000000,0.491875,0.538155,-0.002822,0.020519,0.077078,-0.000021,0.000002,0.000010,0.427834,9.463069,2.550173
119.000000,0.000000,1.000000,0.485632,0.538155,-0.002372,0.022519,0.075676,-0.000039,0.000001,0.000013,0.417358,9.459239,2.566068
120.000000,0.000000,1.000000,0.514837,0.538155,-0.002971,0.022141,0.076974,-0.000009,-0.000000,0.000003,0.402241,9.466995,2.539744
121.000000,0.000000,1.000000,0.537404,0.538155,-0.001697,0.022417,0.076740,0.000006,0.000001,-0.000002,0.448797,9.473886,2.506027
122.000000,0.000000,1.000000,0.502866,0.538155,-0.001550,0.021960,0.074567,-0.000012,-0.000002,0.000001,0.414403,9.482065,2.480888
123.000000,0.000000,1.000000,0.557222,0.538155,-0.002410,0.021109,0.075747,-0.000025,0.000000,0.000009,0.445216,9.478236,2.490165
124.000000,0.000000,1.000000,0.492495,0.538155,-0.004062,0.021158,0.074284,-0.000042,-0.000001,0.000014,0.451386,9.487105,2.455033
125.000000,0.000000,1.000000,0.569460,0.538155,-0.003405,0.021934,0.076701,-0.000029,0.000001,0.000010,0.423397,9.497089,2.421186
126.000000,0.000000,1.000000,0.601087,0.538155,-0.002962,0.021335,0.076997,-0.000008,0.000000,0.000003,0.447538,9.496680,2.418444
127.000000,0.000000,1.000000,0.579941,0.538155,-0.002588,0.024199,0.076515,-0.000026,-0.000000,0.000009,0.383831,9.497533,2.426033
128.000000,0.000000,1.000000,0.519549,0.538155,-0.002428,0.021311,0.076431,-0.000002,-0.000000,0.000001,0.405887,9.500187,2.412012
